name,local_name,author,category,tags,version,release_date,size_bytes,latest,integrity,duplicate,non_store,path,store
Asylum NPC Animations,Asylum NPC Animations,RamsterZ,3D/Animations,animation;character,1.0,,53838164,True,,,False,3D/Animations/RamsterZ/Asylum NPC Animations v1.0.unitypackage,https://assetstore.unity.com/packages/3d/animations/asylum-npc-animations-293789
Atmospheric House (Modular),Atmospheric House (Modular),Finward Studios,3D/Environments/Urban,,1.1.0,,6257348358,True,,,False,3D/Atmospheric House (Modular) v1.1.0.unitypackage,https://assetstore.unity.com/packages/3d/environments/urban/atmospheric-house-modular-192712
Auto-ASMDEF,Auto-ASMDEF,2SD,Tools/Utilities,editor-tool,1.4b,,2075237,True,,,False,Tools/Auto-ASMDEF v1.4b.unitypackage,https://assetstore.unity.com/packages/tools/utilities/auto-asmdef-156502
AZURE Nature,AZURE Nature,Raygeas,3D/Vegetation,environment,1.1.3,,326532956,True,,,False,3D/AZURE Nature v1.1.3.unitypackage,https://assetstore.unity.com/packages/3d/vegetation/azure-nature-167725
Bake AO - Easy ambient occlusion baking,Bake AO - Easy ambient occlusion baking,Procedural Pixels,Tools/Utilities,editor-tool,1.0.1,,15824495,True,,,False,Tools/Bake AO - Easy ambient occlusion baking v1.0.1.unitypackage,https://assetstore.unity.com/packages/tools/utilities/bake-ao-easy-ambient-occlusion-baking-263743
Bakery - GPU Lightmapper,Bakery - GPU Lightmapper,Mr F,Tools/Level Design,editor-tool;lighting,1.98,2025-12-24,509028137,True,,,False,Tools/Bakery - GPU Lightmapper v1.98 (24 Dec 2025).unitypackage,https://assetstore.unity.com/packages/tools/level-design/bakery-gpu-lightmapper-122218
Bakery Real-Time Preview,Bakery Real-Time Preview,,Tools,editor-tool;lighting,1.198,2025-12-24,1517076,True,,,False,Tools/Bakery Real-Time Preview v1.198 (24 Dec 2025).unitypackage,
Bare Ninja AnimSet,Bare Ninja Anim Set,wemakethegame,3D/Animations,,1.2,,189834187,True,,,False,3D/Animations/Wemakethegame/Bare Ninja Anim Set v1.2.unitypackage,https://assetstore.unity.com/packages/3d/animations/bare-ninja-animset-183589
Battle Royale Hero PBR,Battle Royale Hero PBR,Dungeon Mason,3D/Characters/Humanoids,character,,,317426445,False,,,False,3D/Battle Royale Hero PBR.unitypackage,https://assetstore.unity.com/packages/3d/characters/humanoids/battle-royale-hero-pbr-189511
Battle Sound Library - Magic Melee - Fantasy RPG,Battle Sound Library - Magic Melee - Fantasy RPG,,Audio,medieval;sfx,4.2.1,2024-12-16,606741690,True,,,False,Audio/Battle Sound Library - Magic Melee - Fantasy RPG v4.2.1 (16 Dec 2024).unitypackage,
BattleSimulator,BattleSimulator,,,,,,9733356,False,,,True,BattleSimulator.zip,
Beach Bundle: Boys and Girls,Beach Bundle Boys and Girls,Ida Faber,3D/Characters/Humanoids/Humans,,2.0,,4019079754,True,,,False,3D/Beach Bundle Boys and Girls v2.0.unitypackage,https://assetstore.unity.com/packages/3d/characters/humanoids/humans/beach-bundle-boys-and-girls-254781
